question_id,question_article_live,question_article__has_video_solution,question_title,question_hide,total_acs,total_submitted,is_new_question,difficulty,is_favor,frequency,progress
1,True,False,Two Sum,False,4359966,9262953,False,1,False,4.1602399964680234,100.0
2,True,False,Add Two Numbers,False,1976385,5470322,False,2,False,3.9230705548148923,94.29914038962934
3,True,True,Longest Substring Without Repeating Characters,False,2244167,7061955,False,2,False,3.872728781323391,93.0890714144202
4,False,False,Median of Two Sorted Arrays,False,966552,3031708,False,3,False,3.8388474325158004,92.27466289865296
5,True,False,Longest Palindromic Substring,False,1330347,4310638,False,2,False,3.60174088472057,86.57531507264942
6,True,False,ZigZag Conversion,False,583010,1506029,False,2,False,2.1375994337148323,51.38163749037603
7,True,False,Reverse Integer,False,1561177,5996302,False,1,False,3.6090398354913553,86.75076049832154
8,False,False,String to Integer (atoi),False,751496,4745961,False,2,False,2.4890276937514777,59.828944865311186
9,True,False,Palindrome Number,False,1298705,2572770,False,1,False,2.615096299470275,62.859265371479765
10,True,False,Regular Expression Matching,False,548554,1986108,False,3,False,2.778152131066319,66.77865059287265
11,True,True,Container With Most Water,False,970301,1829550,False,2,False,3.1940695380866138,76.77608841793567
12,True,False,Integer to Roman,False,499405,868958,False,2,False,2.9117788548214127,69.99064614766134
13,True,False,Roman to Integer,False,1008220,1760851,False,1,False,2.9641612984188783,71.24976686285895
14,True,False,Longest Common Prefix,False,1054236,2875036,False,1,True,3.2130055573669356,77.23125492987725
15,True,False,3Sum,False,1328773,4639954,False,2,False,3.613849225729129,86.8663641712312
16,True,False,3Sum Closest,False,595445,1283015,False,2,False,2.9398574320598683,70.66557300914754
17,True,False,Letter Combinations of a Phone Number,False,858923,1702686,False,2,True,3.1821588905915337,76.48979129312576
18,True,False,4Sum,False,422910,1190638,False,2,False,2.4998820308565035,60.089851378258544
19,True,False,Remove Nth Node From End of List,False,897276,2468734,False,2,False,1.5781275901763832,37.9335709362005
20,True,True,Valid Parentheses,False,1460065,3635112,False,1,False,3.7710847349006196,90.64584586711847
21,True,False,Merge Two Sorted Lists,False,1458002,2563033,False,1,False,2.901843584652108,69.7518313153983
22,True,False,Generate Parentheses,False,753039,1135004,False,2,True,3.2597590865629322,78.35507300853834
23,True,False,Merge k Sorted Lists,False,901363,2067825,False,3,False,3.533320247093508,84.93068308783242
24,True,False,Swap Nodes in Pairs,False,622376,1149776,False,2,False,1.1292010752533743,27.142690715248346
25,True,False,Reverse Nodes in k-Group,False,359614,780049,False,3,False,2.737097886542441,65.79182664620774
26,True,False,Remove Duplicates from Sorted Array,False,1470389,3120022,False,1,False,1.791217268768196,43.05562348059031
27,True,False,Remove Element,False,876680,1760665,False,1,False,0.7865075329677464,18.905340404291067
28,False,False,Implement strStr(),False,899529,2528694,False,1,False,1.2116296746255082,29.12403312439095
29,True,False,Divide Two Integers,False,375142,2211577,False,2,True,2.068499414341637,49.720675155706395
